review,Improvement Suggestions,Questions and Answers,Experience Sharing,Technical Feedback,Support Request,Community Interaction,Course Comparison,Related Course Suggestions,not_praise
"This is a good course, and I would (indeed, have) recommend it to others.However the week on science seemed to lack any references that i could find; unless im missing the obvious. If there were none included then this is not acceptable when discussing science in an academic context. If they are there somewhere then i think the course as a whole would be improved by making them more apparent. Perhaps by putting the references for a lecture at the end of the lecture, where there is already a slide giving credit for the use of images. This is basic practice when lecturing on science generally.Either way Im loving the course and thank you for producing it!",1.0,0,0,0,0,0.0,0,0,0
"I love this course! It helped me a lot in becoming stable and happy person. It helps in making life balanced. Thanks to Professor Raj! He is a mentor and seems like a good friend too. The fun lectures give so much useful insight about happiness and life. About how we go through our life journey by being unnecessarily sad, however we can take responsibility of our emotions and actually be happy. Thanks for making this course. :)",0.0,0,1,0,0,0.0,0,0,0
"The class was absolutely Wonderful, however I dont have the time to go at a students pace (work , hom, life in general). I was trying to go back and finish week 6 video #4 but was unable to open the course! I want to llearn I wasnt aware there was a time limit to learn happiness. :(",0.0,0,1,1,1,0.0,0,0,0
"One of the best courses to take. I personally learnt Neural Networks and many other topics were a timely revision for me. The best part of the course was not just talking about Machine Learning concepts, Prof. Andrew has also spent time on the practical applications, debug principles and celing analysis on optimal efforts to invest for a successful system development. I would recommend this course to everyone who wants to become an expert in Machine Learning.",0.0,0,1,0,0,0.0,0,0,0
"This is a very good course overall. Machine learning was not totally new to me but I still learned a lot from this course. Coding in Octave is actually not as boring as I expected. Its very hard to find other courses that better explain the details of how to implement machine learning algorithms. It is nice to have a summarized lecture notes in pdf before each quiz and assignment. Only 1 suggestion is there is some minor error or typo in lectures that can be corrected, and the submit script needs be patched.",1.0,0,0,1,0,0.0,0,0,0
"The course covers a wide range of aspects about Software Architecture, even beyond the scope of IoT. The peer review assignments help to put into practice some of the concepts, which may seem to be quite abstract at first glance. An improvement suggestion would be to provide more exercises to work on the case study presented in the last units, in order to take advantage of the additional material provided.",1.0,0,0,0,0,0.0,0,0,0
"It was great to LEARN How To Learn. . .Though Im still looking gonna come back frequently to watch all the optional interviews & assignments.Though it took me about 6 months to complete this, but I had fun & learned a lot.Im gonna apply all of this into my daily life.",0.0,0,1,0,0,0.0,0,0,0
"Writing according to a prompt is not something my colleague poets like. Yet this course could teach them and you how great and new-approach poems you can be forced to create by that.It will also show you how inspiring and experienced reviews you can get by a community, to push your work toward possibilities you wouldnt know about, without this synergy.",0.0,0,0,0,0,1.0,0,0,0
"Course was very well structured and full of practical implementations. However, back propagation algorithm needs more elaboration. Also, there should be some extra videos (non compulsory) for those who want to learn the matrix operations used in algorithms (e.g. covariance defined as XE(-1)X or use of Eigenvalues in dimentionality reduction). Apart from this, its the best online course I have taken and it truly deserves to be the largest online course offered.",1.0,0,0,0,0,0.0,0,0,0
The course is fun to learn,0.0,0,0,0,0,0.0,0,0,1
This course is very interesting but in some points it get repetitive and it gets boring. I recommend to reduce some videos and not to say the same thing too many time even when its very important,1.0,0,0,0,0,0.0,0,0,1
"The content of this course is interesting, I liked the examples, and the material gave an interesting overview of different aspects of machine learning. From that perspective, the course is as advertised. But, where this course goes wrong is value for money - it is very superficial and not worth what is charged.As noted by others, this is not a course for learning so much as an advertisement for the instructors own pay software and their other Coursera courses. Im not against that per say if it was entirely free, but charging for an advertisement is ridiculous. In my case I thankfully started with the free model so I didnt lose out, but I could see others being dissapointed. I strongly recommend starting the material with a free signup and only pay if you really want the extra grading.My other main problem was with the pace and detail in the course. I would have liked more detail, but I recognize this was intended to be a high level view so Ill live with that level of detail. The material covered, however, does not need 6 weeks worth of lectures. This course could be ~1/2 as long, cover the same material, and be a MUCH better course.Other small problems include some poorly edit videos (there are a lot of examples of simple stumbling in the videos that should have meant they do another take), very short videos (maybe a person preference, but the number of <2 minute videos here is annoying, especially when theres a 5-second standard video at the start and end of all videos). All in all, theres just a lot of wasted time.When signing up for this course I was really excited for the entire specialization - now, not so much. Ill probably try the second course in the series (for free to start) to see if things improve, but ironically this advertisement video has if anything turned me off their other products.",1.0,0,1,1,0,0.0,0,0,1
"Instructors presentation keeps the participants attention. Connections are made to history, musicians and the trajectory of music. Just wishing all this could have been seamlessly integrated with soundbites and/or music videos. Theres gotta be a way around rights, residuals and academics. Still, both courses taken together were engaging and information packed.",1.0,0,0,0,0,0.0,0,0,0
"It was a great experience learning how to learn. Thanks this course I found where I am doing wrong and actually I´am learning new things easier and time after time I repeat the information that I have studied some years ago. I used to consider the fact that I am interested in many different things as a problem and all these years I was searching to find something I really like most to succeed but thanks to Barbara I learned that you can start learning anything even the things you are not good at, just by efficient study. Thank you very much!",0.0,0,1,0,0,0.0,0,0,0
"The best course about Machine Learning on the web, thats for sure.Ive learned so many new things and really understand whats inside it, in a way that I feel secure to explain it to anyone.Thank you so much Andrew Ng and everyone involved in the development of this course, you guys did an amazing work, thats irrefutable.",0.0,0,1,0,0,0.0,0,0,0
"I have fallen asleep during 3/4th week, and it have never happened to my during any of the Coursera courses... Im sorry, but it completely failed my expectations. 3 weeks out of 7 gone, and I have learnt absolutely nothing about dogs. Yes, I got some psychological basis, but thats not what I looked for/ The lecturer politely suggests to buy his book ... well if it is the same quality as the presented course, than its useless...",0.0,0,1,0,0,0.0,0,0,1
Very interesting and explained common language. Looking forward for the next modules.,0.0,0,1,0,0,0.0,0,0,0
Out children are the future and their nutrition is a important thingfor their development.,0.0,0,0,0,0,0.0,0,0,1
"First time as a long (more than 30 years) empirical yoga and meditation practitioner that take an academic approach outside the masters himself. Wonderful experience. Very well done, excellent material and the best professors. Thanks",0.0,0,1,0,0,0.0,0,0,0
"great, but really difficult for people with poor reading and writing skill to finish.",0.0,0,0,0,0,0.0,0,0,1
"Thank you very much. The course is a good source for Speakers of other languages and for anyone interested in writing better emails. I now tend to look at my emails twice (even three times) before sending. I also learnt not to add the recipients email until I have read the content twice and made sure it is appropriate, polite and aims at what Im sending it for. That was a good hint.Thank youMaria Barreto",0.0,0,1,0,0,0.0,0,0,0
"Thank you, Dr. Chamovitz! I enjoyed this course. I did WAPK 1 a few years back as well. Please do create many more courses on plant biology - yours is the only one available on Coursera. Some feedback points: 1) Very little interaction and moderation on the discussion forums. There are many interesting points posted there, but no instructor intervention. 2) After listening to the videos i really did not enjoy the reading material provided - perhaps some other sites would be better. 3) The course syllabus is not enough to gauge whether the course is basic, medium or advanced level. Perhaps an indicator would help. For example, in Week 3 content on photosynthesis I was expecting a much more detailed discussion. It would be great to have more advanced courses from you and your team. Your overview explanations are extremely lucid and the visuals provided really help. I think that very few biology textbooks/reading material provide such a clear overview picture and link across concepts. Excellent course! 4) The concern re. GMOs is just touched upon - in such a case I think it would be good if you could take up specific queries, concerns raised in different countries and share your view on those. For example, Bt Brinjal in India. 5) I love the lab visits! Thank you again for this course!",1.0,0,1,0,0,1.0,0,0,0
"When the heck do you actually start programming? Its just him explaining and explaining and explaining and explaining. I did a little course work where I programmed some simple console applications like talking about my name and favorite games, but then he drones on for hours and hours about concepts without actually putting them to practice. He jumps through parts that could have otherwise given valuable information and experience like creating the deck class. Nope, he just has it all premade for you. The course stresses Youll need to program a lot to gain experience, so youll be doing it a lot of programming in this course. - but Im not, theres no programming at all. Its just droning on and on about concepts and how they work.Yes its important to learn what these things do, but its much more important to put them to practice. My eyes are glossing over trying to sit through these 15 minute long videos of him just explaining concepts rather than having me put them to use.I do not recommend this course to anyone unless you have a Bob Ross fetish, and like listening to monotone talking. I can learn and so much more and gain valuable experience, just by googling and youtube videos. Im very disappointed in this series.",0.0,0,0,0,0,0.0,0,0,1
This is a fantastic course. It really helped my understand how we learn and how to become a better learner. It combines facts about the brain with our daily life which makes the information not only interesting but also highly relevant . Questions at the end of the videos are a great tool to make sure you were actually paying attention. during the video.Barbara Oakley is a splendid coach and made this course a memorable experience for me and Terry Sejnowski helped me understand science simply without over simplifying it. :)Kudos to the entire team of Learning How To Learn !Cheers!p.s. Thank you Coursera for offering such courses. :),0.0,0,1,0,0,0.0,0,0,0
"It was by far the best course Ive taken on Coursera. For someone not dealing with math in their everyday life it could have been a bit challenging, but I really enjoyed watching how math, physics and neuroscience use the same concepts and how various models can be interchangeable.Main subject was super-interesting, but I also enjoyed how it showcased how mathematical concepts can be used and applied. Its really disappointing that such approach is not that common in formal education many of us have received... For such interesting topics you presented I would go back to university and learned differential equations once again, seeing some purpose in them at last. I always knew that mathematics is a beautiful language, but during my education no-one showed me such profound and exciting problems to express them in it.The instructors were great and guest lectures were fun as well. I am almost regretting choice of my everyday computer science career when hearing about problems you get to solve :) Thanks a lot! This was definitely one of the best online courses Ive seen and time spent on it was not wasted.",0.0,0,1,0,0,0.0,0,0,0
"Ancient History: it is not boring anymore (for me)! Charming Prof. Andrew Szegedy-Maszak gives materials in a way, that you feel an every character (even mithological) was a real person involved in a real story. I also like nice sence of humor and a voice of lecturer! A lot of reading was easy and interesting to learn during the course.",0.0,0,1,0,0,0.0,0,0,0
"The course has amazing content. Its a very structured with an interesting approach. For someone who procrastinates a lot, I didnt get bored! I wish we had this course way back in High School. So many tips and my favorites are the Pomodoro and the Memory Palace techniques. I highly recommend this course for everyone.",0.0,0,1,0,0,0.0,0,0,0
A well explained with good support course! I recommend this to everyone interested in the field.Note: I would want to know how to move further with the app and introduce it inside app store and google play store. This is omitted in the course. I am looking forward for this course updates if there will be any - and I think it will be improved!,1.0,1,0,0,1,0.0,0,0,0
"Very frustrating and disappointing experience. The lectures were hard to follow on many levels:1) The enunciation was unclear and subtitles were often of-the-point, plus they covered-up the code lines that were being discussed.2) The lecturer often failed to explain logical constructs that were being used, despite the fact that the course should have been understandable with no R cran/Bioconductor experience.3) The method arguments were either not explained, or very vaguely mentioned, which means applying them to new situations was unnecessarily complicated.4) No feedback at all was offered from course organisers/reps to anyone, even after complains in discussion forum about quiz questions.5) No feedback for solving the questions/correct answers even after the deadline.6) Quiz questions required methods and logical constructs that were not explained/used/mentioned in the lectures. One quiz lacked background information of what data needed to be used (the info was available in the previous version of the course). Some quiz questions were biologically inaccurate i.e. confusing genes/transcripts/exons.",1.0,1,0,0,0,0.0,0,0,1
"I am getting into depth of leadership, actually i was in fear of knowing leadership qualities. I thought do i might able to understand correctly what is leadership, are those qualities are in me! And i realize that yes i have those certain things and i can develop. Thanks for offering such course.",0.0,0,1,0,0,0.0,0,0,0
Dynamic Programming need to be stronger,0.0,0,0,0,0,0.0,0,0,1
"The course was well-structured and the instructor clearly illustrated statistical concepts to students who have no prior experience in the field. Although the lab assignment for each week may seem a bit stressful for beginners, the overall learning is highly inspiring and does prove rewarding as students finally get to apply the technical skills to their final project. Also, the guidance for each lab assignment was very helpful. It would be even better if there are example code answers for the lab questions, since some of the questions are a bit more complicated. Overall, this is a worth-taking course.",1.0,0,0,0,0,0.0,0,0,0
"This course was incredibly easy to get into. At the end of the course, Im astonished at the breadth of the course and all the theory and applications I was introduced to. The course is very well designed and the programming assignment are intuitive and fun to solve since they mirror many real world machine learning applications. Thanks Andrew and everyone else for designing and maintaining such a great course!",0.0,0,1,0,0,0.0,0,0,0
"Im still in Week 1, but Im already in love with this course. They give accurate information in a light manner, the exercises are very clear and didactic, and they also give the answers to these exercises which answers all of your potentially uprising questions, alongside with the Video Lectures. It is already giving me the confidence that it will be a great asset to me as a Data Analyst.",0.0,0,1,0,0,0.0,0,0,0
Pros: Really awesome course. Learned a lot from assignments . Andrew sir explained the difficult topics with so ease. Discussion forums helped a lot which i got stuck on particular assignment. The topics are structured well enough to guide step by step learning.Cons: The way this course is framed allows one to add only few lines of code. We dont learn to implement from scratch. I dont feel confident to apply the learned concepts to new real world problem.,1.0,0,0,0,0,1.0,0,0,0
"I think this is well organized course for the profession job application, but the course name is quite mis-leading. The name could be Job Application Process and Carrier Development.",0.0,0,0,0,0,0.0,0,0,1
"The course was a good overview of Julia, starting from the very basics. This makes it relevant for programming beginners at the start. As the course builds up, it nicely introduces Julias complexity in the assignments, and introduced many of Julias must-know features such as multiple dispatch and user defined types, without getting too daunting. The explanation was clear and crisp at all times. More content could be covered for data analysis and perhaps more forum discussion could be encouraged. The course didnt take a great deal of time to complete. Perhaps there is a need in the industry for a multiple Julia certification as the language gains momentum. I would recommend this course for those who want to get to know Julia and many key libraries in it for data analysis and visualization.",1.0,0,0,0,0,0.0,0,0,0
"Whilst the material in the course is fine (although repetitious in places), the pacing is fairly poor.Ultimately, there are three things covered by this course: a brief overview of remote sensing, hands-on raster classification and hands-on work with Model Builder work (using hydrology as an example framework). These then combine into the final submitted assignment. Many of the remaining lecture topics dont particularly link in to anything youll be doing and are just for interests sake. Also, a lot of time is spent on the more intuitive aspects of Model Builder, but little to none is allotted to troubleshooting and the less intuitive aspects (for example, how to incorporate variables throughout a model or other issues with generalising a custom tool built within Model Builder).If taking the course, be aware that the final submitted assignment requires formulating your own research question and unless youre already working in the field, can necessitate a significant amount of literature review for even the given example research questions. The gap in expectations and assistance is more of a chasm.Unless you have the better part of a week free to commit to the course, it is advised that you skip ahead to the final assignment immediately and spread it over the full four weeks, spending the first week formulating the question, the second producing the classified raster and the third the model builder model, including any research necessary for this step. This gives the last week to produce products for submission or continue the work from the third week.Hopefully in upcoming repeat sessions of the course, pacing will be improved, the grading rubric provided before final submission for the sake of transparency and clarity, and a little more guidance and actual feedback available in the forums, which are largely deserted at this point.",1.0,0,0,0,0,0.0,0,0,1
"It is a good course for beginners, but it is too slow for advanced learners who want to refresh their knowledge.",0.0,0,0,0,0,0.0,1,0,1
"I´m quite disappointed in this course. First you should know that the first week doesn´t reflect at all the rest of the course in difficulty and in matter. As I was delighted by the first week presentation and way of explaining as soon I started the second week I was wondering what happen to the clear, concise examples and ideas presented in the first one. First The presentation of the following weeks is done by handwriting on software that give a very very poor graphic view. It´s BARELY READABLE ! It allows really smalls amounts of infos to be displayed. That could be redeemed by good explanations you may say but sadly it´s not the case most of the time. The examples are rarely connected to something real, numbers come up from ... nowhere. The level of difficulty could be challenging if you don´t have a bachelor of sciences like Math or Physics or Bio. It´s NOT A BEGINNER COURSE.To give more context I have done and succeed more 16 courses , 2 specializations, followed/audited about 3 others courses and that is the first time I´m giving a bad review. I´m sure the teachers put a lot of effort in doing the course , there is a lot subjects presented but I definitely suggest a change in the presentation to start then connect and fully explain examples. With some changes that course will fly high :)",1.0,0,1,0,0,0.0,0,0,1
Dr Noors enthusiasm and relaxed teaching style makes even the more technical subject matter seem interesting. Although not always easy I have been compelled to keep pushing forward as I feel I am learning a great deal about myself and species around me. By far one of the best courses I have taken on this platform. I hope to continue studying the area of genetics as a result of this course. Thanks and keep up the good work!!!,0.0,0,1,0,0,0.0,0,0,0
"I liked the practice with Python. However, some of the code was outdated and didnt work properly. The course is abandoned. No one reacts on the forum any more.The instructor occasional made mistakes or was repetitive. Sometimes I wondered if Tucker was really knowledgeable about the domain that he tried to teach in this course.Id only recommend this course if want to learn about CAPM, Sharpe ratio, and event profiling.",0.0,0,0,1,1,1.0,0,0,1
Dr Wentzlaff is an excellent instructor and explains the material very well. Homework and tests are well designed: the questions are fair and they help you further your understanding of the material.Only complaint is that some of the lecture video had out-of-sync audio which was distracting.Thank you Dr.Wentzlaff and staff!,0.0,0,0,1,0,0.0,0,0,0
"This should be taught to everyone at High school. I believe I learnt a lesson not only about my capability to learn anything I want, but a lesson that can easily be transferred to many areas of my life. Thanks coursera! I am finding ways to share the principles with my students ... its the least I could do to give someone a chance to succeed in life.",0.0,0,1,0,0,0.0,0,0,0
"This course is extremely well made! I am enjoying it very much! Im personally using it for a review of nutritional principles and basics and this course is FILLED with wonderfully clear and visually captivating video lectures cut into shorter 4-5 minute lectures! This course is probably meant to be taken over a months time, but Its SO Captivating that I cant get enough and be through it in a few days at most! Thank you for putting this course online for everyone to take, learn and enjoy! Im going to recommend it to my whole online nutrition course at my university for an excellent review of basic and key nutritional concepts! It will certainly leave a lasting impression on my further nutritional studies.",0.0,0,1,0,0,0.0,0,0,0
The course is based off cutting edge research and provides valuable advice on the best way to learn anything. Many of the concepts and ideas discussed by Barbara and Terrence resonate clearly with my experiences. One thing I would like to see in a future course is some tips on how to tackle material that isnt student friendly.,1.0,0,0,0,0,0.0,0,0,0
"As a casual participant with a general interest I found this course to be enlightening - it helped me ground the fragments that I had already learned here and there about the Bible in historical, social, geographic (in particular) and political contexts and thus weave those fragments into a narrative that makes sense to me. This JW thanks Emorys JW!",0.0,0,1,0,0,0.0,0,0,0
Personally and professionally this is a must have in your portfolio class. Embark on a journey of personal and professional reflection and get ready to change the dynamics in your classroom and homes. Teaching and modeling character is the best thing we can help our children recognize in themselves. I implore you all to take this course...You wont be disappointed!,0.0,0,1,0,0,0.0,0,0,0
"Course content was excellent, and very interesting. The presentation could be improved however; at times I found it hard to hear what was being said due to poor sound quality. Nevertheless the course has served as an excellent introduction to Chinese culture and would recommend it to anyone looking to learn more about it.",1.0,0,0,1,0,0.0,0,0,0
"There are a number of issues with this course, and more generally Coursera. While the course does cover the material, it uses non-standard mathematical notation. This can be very confusing and seems as if it is purposefully so. There are several mathematical abstractions used that perhaps have a purpose in later machine learning applications but seem unnecessary here.Another issue is that the course assumes the use of Octave which is not available for Windows users apparently. It also allows the use of MatLab but the quiz questions are in Octave which means the quiz is not necessarily testing understanding of the course material as it is Octave.Generally, the opportunities for feedback to Coursera are highly limited. A colleague once took a course online (through another platform). Some of the course material was objectively wrong. However, there was no ability to submit feedback. I have the sense that this could easily happen with the Coursera material. It totally undercuts the apparent validity of the platform.",0.0,0,0,1,0,0.0,0,0,1
"I doubt Ill ever be smug again and think its all about P&L. Professor Noel takes you through an inductive journey analyzing real case studies which require a marketing solutions. As a private investor, Ive become more englightened about the value of marketing. Were now starting on a very fun part of the course, where we are invited to create our dream product and build a pitch. Think Shark Tank meets an MBA class! This has been more challenging for our team than any other assignment. While it was great fun to dream up a product with a couple of engineers. Its quite another thing to figure out how to build a marketing presentation thats so good that people will want to invest in it! I think its opening up all of our eyes.",0.0,0,1,0,0,0.0,0,0,0
"Good introduction to project management basics. Deals with the definition of a project and introduces the student to a set of formal ways to document things to consider when starting a project, e.g. scope, stakeholders and responsibility assignments. It is on times a little bit too theoretical for my taste. There are some small case study videos that are well done. Could be a little bit more hands-on.I still enjoyed it, learned a lot and will continue with the second course in this series.",0.0,0,1,0,0,0.0,0,0,0
Headed downhill. Lessons are starting to feel like not enough time was put into preperation... or like this course was assigned as a project to some students so the professor could make a dollar (like textbooks). One of the instructors even said at one point they didnt have enough time. What does that even mean in an online course. You could be fixing it right now and improving the course. This whole thing is being handled like a college course and that is crazy. On-line courses can undergo continual improvement. The college course paradigm is dying because we can do it better now. Fail.,0.0,0,0,0,0,0.0,0,0,1
This is improving my strength towards completing courses. I like it a lot.A humble request is please upload video lectures of duration more than 15 min. After watching a video we are relaxing. If videos are of small duration I will take much time for us to complete lectures as it includes more relax time. If videos are of more duration we can complete them in small time.,1.0,0,0,0,0,0.0,0,0,0
"Positive points:-this really is a beginners course, without any knowledge about coding or the syntax of MATLAB necessary.-you learn by solving the problems yourself. This gives you great insight about the thought processes necessary, about different approaches and how to realize your ideas.-Mentors are responding quickly (sometimes within a half hour) and are doing there best to help you out.Negative points:-The video lectures, although informative have a very slow paste and the earlier ones do not prepare you that well for the homework assignments. However once you get used to it you will manage to get an idea about the assignments from the lectures. Still the same problem is illustrated way too often in the same lecture. One could either add different problems or shorten the lectures a lot. With time it is possible to learn when one can skip a section but it makes it especially hard for people to start the course, since one spends hours watching videos for just learning about basic syntax in the beginning- For some of the homework assignments the mathematical part was the bigger challenge for me than the coding part, which is really frustrating when you just want to learn how to code.",0.0,0,1,0,0,0.0,0,0,0
"During this course I had many issues with bower and version conflicts. I do everything step by step like in the video, and nothing works. I look at error log and realize there is some issue with versions. =\It would be really nice if you explained how to deal with it, instead of making me waste hours of my time on googling this stuff. It almost made me quit using bower forever.",0.0,0,0,1,1,0.0,0,0,1
"Course is a little disorganized, and sounds are a little difficult to hear sometimes (in the exercises where youre asked to distinguished sounds, but I guess thats the point of those exercises. I dont quite understand the self-study videos because theyre already in the main lesson videos, but otherwise, this is a wonderful course. I mean, I already speak a tonal language so the tones are easy for me, but they shouldnt be too difficult for non-tonal speakers too. Otherwise, this course gets you through the basics pretty quickly without too much emphasis on vocabulary or grammar and without Chinese characters; if youre keen, youll pick up the grammar as you go along.On a more technical note, the videos could be of better resolution, but thats not going to impede the course progression or anything. Kudos to this courses contributors!",1.0,0,1,1,0,0.0,0,0,0
"boring lecturer, monotone, passionless reading of even more boring powerpoint slides and images, and absolutely no intelligent discussion going on in this course, I have learned more from reading the book the epigenetics revolution  by nessa carey, a book written for laypersons, than I have from this course taught by university professors. dont waste your time",0.0,0,0,0,0,0.0,0,0,1
"It is best to have a strong statistical background before taking this course. Lots of statistical calculations and procedures. If you dont have a strong background in statistics , there is a good chance you will get lost at some point in the course. There is no questions that the instructor of this course is an accomplished mathematician, I just found it hard to follow his lectures as he got deeper into various statistical aspects of the course.",0.0,0,1,0,0,0.0,0,0,1
"This course dedicates an entire week to very simple topics. The lectures could use some serious editing too. To help you understand what I expect, Im taking this at the same time as Im taking Whartons Week 1 Entrepreneurship program. Ive also taken Whartons Intro to Marketing course which I highly suggest over this course. The quality is dramatically better. Getting Started: Agile Meets Design Thinking is a University of Virginia course that also is a great example of how these courses should be done. Im hoping the next courses in the Digital Marketing Capstone are much better so that Im not watching a lecture and counting how many times the professor pushes his glasses back up.On the plus side, I did like the engagement this course encourages by forcing you to go to other websites & accomplish things as well as review your peers work. I wish your peer reviews had less of an outcome on your grade though. In my experience, many people did not even read the instructions on how to review the assignments.",1.0,0,1,0,0,1.0,1,1,0
